Board,Level,School,City,Fraser rank,Score / 10,Status,Report entry,PDF page,Source,Directory source,Directory ID,Identity source,Verification note,Source row,Checked on
Thames Valley,Elementary,A.J. Baker,Kintore,1850,5.6,Ranked,A J Baker Kintore,28,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1010,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,1850 1097 — A J Baker Kintore 5.6 6.5,2026-09-16
Thames Valley,Elementary,Aberdeen,London,2942,2.3,Ranked,Aberdeen London,37,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1015,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2942 2693 — Aberdeen London 2.3 2.4,2026-09-16
Thames Valley,Elementary,Adelaide-W.G. MacDonald,Strathroy,2436,4.5,Ranked,Adelaide - W G MacDonald Strathroy,33,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1020,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2436 1706 q Adelaide - W G MacDonald Strathroy 4.5 5.7,2026-09-16
Thames Valley,Elementary,Aldborough,Rodney,2942,2.3,Ranked,Aldborough Rodney,37,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1025,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2942 2666 — Aldborough Rodney 2.3 2.8,2026-09-16
Thames Valley,Elementary,Algonquin,Woodstock,2556,4.2,Ranked,Algonquin Woodstock,34,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1030,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2556 1894 — Algonquin Woodstock 4.2 5.3,2026-09-16
Thames Valley,Elementary,Annandale,Tillsonburg,2845,3.1,Ranked,Annandale Tillsonburg,36,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1999,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2845 2643 — Annandale Tillsonburg 3.1 3.0,2026-09-16
Thames Valley,Elementary,Arthur Ford,London,2301,4.8,Ranked,Arthur Ford London,32,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1035,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2301 2357 — Arthur Ford London 4.8 4.3,2026-09-16
Thames Valley,Elementary,Arthur Stringer,London,2860,3.0,Ranked,Arthur Stringer London,37,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1040,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2860 2666 — Arthur Stringer London 3.0 2.8,2026-09-16
Thames Valley,Elementary,Ashley Oaks,London,2993,1.7,Ranked,Ashley Oaks London,38,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1045,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,2993 2604 q Ashley Oaks London 1.7 3.3,2026-09-16
Thames Valley,Elementary,Blenheim District,Drumbo,1964,5.4,Ranked,Blenheim Drumbo,29,https://www.compareschoolrankings.org/pdf/ontario-elementary-school-rankings-2025.pdf,tvdsb-elementary-2026-2027.pdf#page=1,1925,tvdsb-elementary-2026-2027.pdf#page=1,현재 학교명·도시를 원본 표기와 연결하고 순위·점수를 별도 PDF 추출기로 재대조.,1964 1754 — Blenheim Drumbo 5.4 5.6,2026-09-16
